Store,Start Date,Users,Sessions,Session Duration (SECONDS),Pageviews,Pages per Session,Avg. TOS,Bounces,Bounce Rate,Total Time Spent (DAYS),Product Hotspot Clicks,Text Hotspot Clicks,Image Hotspot Clicks,Link Hotspot Clicks,Pop-up Hotspot Button Clicks,Pop-up Video,Arrow Nav Clicks,Menu Nav Clicks,Custom Event Clicks,Add to Cart Clicks,Checkout Clicks,Add to Wishlist Clicks,PDP Clicks,Cart Icon Clicks,Add to Cart CTR,Checkout CTR,[NEW] Total Interactions,[New] Total Interactions per User
WqtWQudwti,Start date,Total Users,Sessions,User Engagement Duration,Screen Page Views,Pages per Session,Avg. TOS,Bounces,Bounce Rate,Total Time Spent (DAYS),,,,,,,,,,Add To Carts,Checkouts,,,Cart Icon Clicks,Add to Cart CTR,Checkout CTR,Total Interactions,Total Interactions per User
juEFyPCfrs,"Jan 1, 2021",0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0
VimgxvWApW,"Mar 22, 2021",3,4,477,3,1,0:01:59,2,50.00%,0,,,,,,,,,,0,0,,,0,0.00%,0.00%,0,0
dbuBtUXyiT,"Jan 1, 2021",2,4,899,17,4.25,0:03:44,1,25.00%,0.01,,,,,,,,,,0,0,,,0,0.00%,0.00%,29,14.5
DsbuUPNWNo,"Jul 7, 2021",0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0
qkUHxMuYhu,"Nov 8, 2021",632,755,"39,561","3,974",5.26,0:00:52,289,38.41%,0.46,,,,,,,,,,0,0,,,0,0.00%,0.00%,"2,068",3.3
nsmSTdEOVY,"Sep 22, 2021",186,220,"24,769","1,040",5,0:01:52,72,32.73%,0,,,,,,,,,,0,0,,,0,0.00%,0.00%,"1,681",9
auQDCjwWMx,"Sep 3, 2021",30,49,"3,593",50,1,0:01:13,13,28.57%,0,,,,,,,,,,0,0,,,0,0.00%,0.00%,340,11
cumBkRisUZ,"Mar 19, 2021",22,40,"3,328",78,1.95,0:01:23,16,40.00%,0.04,,,,,,,,,,0,0,,,0,0.00%,0.00%,134,6.1
UWAsUOPSXl,"Jan 1, 2021",200,232,"14,696",267,1.15,0:01:03,36,15.52%,0.17,,,,,,,,,,0,0,,,0,0.00%,0.00%,"1,512",7.6
